Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,HR/FB,vFA (pi),ERA,xERA,FIP,xFIP,WAR,NameASCII,PlayerId,MLBAMID
"Aaron Nola","PHI",11,13,0,32,32,205,10.317073170731707,1.273170731707317,0.8341463414634146,0.28932038834951457,0.73021182,0.43560606,0.0984456,92.92222055288461,3.2487804878048783,2.74,2.5807236845900374,2.769559269780066,6.280670642852783,"Aaron Nola",16149,605400
"Carlos Rodón","SFG",14,8,0,31,31,178,11.98314606741573,2.6292134831460676,0.6067415730337079,0.29310344827586204,0.75059102,0.34140436,0.06521739,95.45985932365826,2.8820224719101124,2.64,2.2528804398654554,2.9067454417100116,6.201577663421631,"Carlos Rodon",16137,607074
"Justin Verlander","HOU",18,4,0,28,28,175,9.514285714285714,1.4914285714285713,0.6171428571428571,0.23963133640552994,0.804769,0.37923251,0.06217617,95.09869296577946,1.7485714285714287,2.66,2.4895738588060654,3.230781258600099,6.09024715423584,"Justin Verlander",8700,434378
"Sandy Alcantara","MIA",14,9,0,32,32,228.2,8.147230683139576,1.9679301167003806,0.6297376373441218,0.26158940397350994,0.78822412,0.53420195,0.08510638,97.95842391304348,2.2827989353724414,2.9,2.9856088385869612,3.293084572137847,5.723739147186279,"Sandy Alcantara",18684,645261
"Kevin Gausman","TOR",12,10,0,31,31,174.2,10.562977714420796,1.4427481756282063,0.7729008083722534,0.3634453781512605,0.73979592,0.39219713,0.08522727,94.94010033136966,3.349236836279765,3.34,2.3796065315028496,2.754864273376801,5.70719575881958,"Kevin Gausman",14107,592332
"Shohei Ohtani","LAA",15,9,0,28,28,166,11.873493975903614,2.3855421686746987,0.7590361445783133,0.2887139107611549,0.83111702,0.41878173,0.09271523,97.3578060522696,2.3313253012048194,2.68,2.4015876281692323,2.65180317032409,5.647177696228027,"Shohei Ohtani",19755,660271
"Max Fried","ATL",14,7,0,30,30,185.1,8.25539591001321,1.5539568771789571,0.5827338289421089,0.2796116504854369,0.78196347,0.51153846,0.07792208,93.98086240310077,2.476618773003963,2.85,2.7023590479632054,3.090723563349386,4.9778923988342285,"Max Fried",13743,608331
"Shane Bieber","CLE",13,8,0,31,31,200,8.91,1.62,0.81,0.28677839851024206,0.75757576,0.48181818,0.10404624,91.515490981332,2.88,3.51,2.872431001663208,2.9829505360871553,4.884712219238281,"Shane Bieber",19427,669456
"Corbin Burnes","MIL",12,8,0,33,33,202,10.826732673267326,2.272277227722772,1.0247524752475248,0.25910064239828695,0.76791809,0.47022587,0.14110429,96.15615844726562,2.9405940594059405,3.05,3.1371834769107334,2.8515409662434377,4.558439254760742,"Corbin Burnes",19361,669203
"Framber Valdez","HOU",17,6,0,31,31,201.1,8.672185649548098,2.995033188245993,0.49172186672695406,0.2849264705882353,0.7567804,0.66545455,0.125,94.02301025390625,2.8162252367089184,3.31,3.0577952386935467,2.994579214985594,4.437160491943359,"Framber Valdez",17295,664285
"Dylan Cease","CHW",14,8,0,32,32,184,11.103260869565217,3.8152173913043477,0.782608695652174,0.26004728132387706,0.82340195,0.38761468,0.08376963,96.91620156372935,2.2010869565217392,2.7,3.0961266538371213,3.502379676424291,4.405777454376221,"Dylan Cease",18525,656302
"Zac Gallen","ARI",12,4,0,31,31,184,9.391304347826088,2.2989130434782608,0.7336956521739131,0.23660714285714285,0.77987421,0.4595186,0.09090909,93.94119599858357,2.5434782608695654,3.17,3.0472136103588605,3.31493617369105,4.272912979125977,"Zac Gallen",19291,668678
"Yu Darvish","SDP",16,8,0,30,30,194.2,9.107877188271154,1.7106165277463588,1.0171233408221594,0.2504970178926441,0.78219013,0.36852207,0.09649123,94.99977401859505,3.0976029015947577,3.49,3.312773477885755,3.5774527251201054,4.2214436531066895,"Yu Darvish",13074,506433
"Logan Webb","SFG",15,9,0,32,32,192.1,7.627383217304388,2.2928943413982514,0.5147313827628728,0.2926391382405745,0.71761417,0.56708408,0.08270677,92.37638608870968,2.9012132482998285,3.59,3.0344413982142884,3.3146275272518464,4.197248458862305,"Logan Webb",17995,657277
"Alek Manoah","TOR",16,7,0,31,31,196.2,8.237288561664572,2.333898425804962,0.7322034277035174,0.24427480916030533,0.82622601,0.37453184,0.07142857,93.8774066943128,2.2423729973420223,3.31,3.3463293188462764,3.9748178928122773,4.129860877990723,"Alek Manoah",26410,666201
"Tyler Anderson","LAD",15,5,0,30,28,178.2,6.951492339419113,1.7126865184076077,0.7052238605207796,0.255859375,0.77790974,0.40115163,0.06392694,90.74019720132459,2.5690297776114113,3.1,3.308326518474536,4.104227052534496,3.9859659075737,"Tyler Anderson",12880,542881
"José Quintana","- - -",6,7,0,32,32,165.2,7.44265604986511,2.553319958712848,0.43460765254686773,0.30165289256198347,0.74170124,0.46421268,0.05263158,91.28503331218275,2.933601654691357,3.86,2.9917066537335226,3.722186440007391,3.9848867654800415,"Jose Quintana",11423,500779
"Martín Pérez","TEX",12,8,0,32,32,196.1,7.7470290631753524,3.1629881973911202,0.5042444952362655,0.2950530035335689,0.77020202,0.5141844,0.06547619,92.91138712565105,2.8879457454440662,3.59,3.265232363856016,3.803612988321262,3.835659980773926,"Martin Perez",6902,527048
