Name,Team,G,PA,HR,R,RBI,SB,wRC+,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,BsR,WAR
Aaron Judge,NYY,157,696,62,133,131,16,207.2070375,0.15948276,0.25143678,0.37543859,0.34023669,0.31052632,0.42485549,0.68596491,0.458196414,0.463,2.142730933,11.47892458
Manny Machado,SDP,150,644,32,100,102,9,152.0198731,0.09782609,0.20652174,0.23356402,0.3373494,0.29757785,0.36645963,0.53114187,0.381634797,0.338,2.957123576,7.400431092
Nolan Arenado,STL,148,620,30,73,103,5,151.2873284,0.08387097,0.11612903,0.2405745,0.28976035,0.29263914,0.35806452,0.53321364,0.381004755,0.339,-1.595844961,7.298290648
Paul Goldschmidt,STL,151,651,35,106,115,7,177.4832711,0.12135177,0.21658986,0.26024956,0.36760925,0.31729055,0.403698,0.57754011,0.419315559,0.367,3.034270283,7.115859749
Freddie Freeman,LAD,159,708,21,117,100,13,157.4012652,0.11864407,0.1440678,0.18627451,0.35887097,0.3251634,0.40677966,0.51143791,0.392545278,0.403,5.355810455,7.056668217
Francisco Lindor,NYM,161,706,26,98,107,16,126.9480387,0.08356941,0.18838527,0.17936508,0.30125523,0.26984127,0.33852691,0.44920635,0.341811351,0.331,3.267747829,6.751924538
Yordan Alvarez,HOU,135,561,37,95,97,1,184.6765489,0.13903743,0.18894831,0.30638298,0.32035928,0.30638298,0.40641711,0.61276596,0.42657036,0.462,-0.622180868,6.715936729
Jose Altuve,HOU,141,604,28,103,57,18,163.7205248,0.10927152,0.14403974,0.23339658,0.31476998,0.29981025,0.38741722,0.53320683,0.396886724,0.354,-1.480127928,6.573155233
Mookie Betts,LAD,142,639,35,117,82,12,144.3057581,0.08607199,0.1627543,0.26398601,0.27231121,0.26923077,0.33959311,0.53321678,0.37339348,0.344,4.330308577,6.537376932
J.T. Realmuto,PHI,139,562,22,75,84,21,127.9203377,0.07295374,0.21174377,0.20238095,0.31793478,0.27579365,0.34163701,0.4781746,0.353997537,0.351,6.631627102,6.48272144
Dansby Swanson,ATL,162,696,25,99,96,18,115.6001961,0.0704023,0.26149425,0.1703125,0.34782609,0.2765625,0.32902299,0.446875,0.337436752,0.337,3.111959075,6.377029118
Trea Turner,LAD,160,708,21,101,100,27,128.0489713,0.06355932,0.18502825,0.16871166,0.34189723,0.29754601,0.3427762,0.46625767,0.349618402,0.335,6.475843631,6.355186111
José Ramírez,CLE,157,685,29,90,126,20,138.8672094,0.10072993,0.11970803,0.23460898,0.27855711,0.27953411,0.35474453,0.51414309,0.362730882,0.32,6.019574784,6.178489852
Andrés Giménez,CLE,146,557,17,66,69,20,139.8186905,0.06104129,0.2010772,0.16904277,0.35342466,0.29735234,0.37070524,0.46639511,0.364078629,0.326,3.366903422,6.092622133
Xander Bogaerts,BOS,150,631,15,84,73,8,133.6477614,0.09033281,0.18700475,0.14901256,0.36194896,0.3070018,0.37717908,0.45601436,0.363105864,0.323,4.748189132,6.074641887
Jeff McNeil,NYM,148,589,9,73,62,4,142.910433,0.06791171,0.10356537,0.12757974,0.3525641,0.32645403,0.3820034,0.45403377,0.365155889,0.323,1.975660957,5.833746346
Tommy Edman,STL,153,630,13,95,57,32,107.9568895,0.07301587,0.17619048,0.13518198,0.30837004,0.26516464,0.32432432,0.40034662,0.317635249,0.308,8.371042443,5.663124703
